Timestamp;Country;Gender;Age;Group;HighSchool;MonthsAbroad;MusicStreamingService;MinutesStreamMusic;VideoStreamingService;MinutesStreamVideo;PayVideo;PayMusic
01/10/2018 11:34;Spain;Male;21;B;Partially State-funded School;9;Spotify;90;None of them;0;No;No
01/10/2018 12:48;Spain;Male;22;A;Partially State-funded School;8;Apple Music;15;Netflix;180;Yes;Yes
01/10/2018 13:31;Spain;Male;52;B;Partially State-funded School;0;Spotify;10;Amazon Prime;60;No;No
01/10/2018 13:34;Spain;Male;58;B;Private;12;Spotify;45;None of them;0;Yes;No
01/10/2018 13:43;Spain;Female;15;B;Partially State-funded School;0;Spotify;200;None of them;0;No;No
01/10/2018 13:51;Spain;Female;15;B;Private;0;Spotify;300;YouTube;90;No;No
01/10/2018 14:36;Spain;Female;14;B;Partially State-funded School;0;None of them;0;YouTube;60;No;No
01/10/2018 14:40;Spain;Female;15;B;Private;0;Spotify;60;Netflix;90;Yes;No
01/10/2018 14:41;Spain;Female;30;B;Public School;0;Spotify;120;Netflix;240;Yes;No
01/10/2018 15:00;Spain;Female;55;B;Public School;2;Spotify;60;YouTube;30;No;No
01/10/2018 15:12;Spain;Female;61;B;Partially State-funded School;0;None of them;0;None of them;0;No;No
01/10/2018 15:15;Spain;Female;26;B;Partially State-funded School;6;Spotify;180;None of them;0;No;No
01/10/2018 15:27;Spain;Female;14;B;Partially State-funded School;0;None of them;0;Netflix;0;No;No
01/10/2018 15:35;Spain;Female;57;B;Partially State-funded School;0;Spotify;40;Amazon Prime;0;No;No
01/10/2018 15:36;Spain;Female;56;B;Public School;15;None of them;0;Netflix;60;No;No
01/10/2018 15:41;Spain;Male;22;A;Partially State-funded School;3;Spotify;120;Netflix;180;Yes;No
01/10/2018 15:51;Spain;Female;52;B;Private;1;Spotify;20;None of them;0;No;No
01/10/2018 15:52;Spain;Female;59;A;Private;6;None of them;0;Netflix;120;No;No
01/10/2018 16:56;Spain;Female;59;A;Private;0;Spotify;50;Netflix;120;Yes;No
01/10/2018 17:21;Spain;Female;56;A;Private;24;None of them;0;None of them;0;No;No
01/10/2018 17:37;Spain;Female;18;B;Public School;0;None of them;0;None of them;0;No;No
01/10/2018 18:29;Spain;Female;14;B;Partially State-funded School;0;Spotify;240;None of them;0;No;No
01/10/2018 19:17;Italy;Male;28;A;Public School;2;None of them;0;Netflix;30;No;No
01/10/2018 19:17;Spain;Male;27;A;Public School;0;None of them;0;Netflix;120;No;No
01/10/2018 19:17;Northern Ireland ;Male;24;A;Public School;24;Spotify;120;Netflix;40;Yes;Yes
01/10/2018 19:19;Spain;Male;22;A;Partially State-funded School;1;None of them;0;Amazon Prime;30;No;No
01/10/2018 19:21;UK;Female;25;A;Public School;24;Spotify;60;Netflix;90;Yes;No
01/10/2018 19:22;Spain;Female;24;A;Partially State-funded School;29;Spotify;100;None of them;0;No;No
01/10/2018 19:24;Spain;Male;50;B;Public School;0;Spotify;30;Amazon Prime;30;Yes;No
01/10/2018 19:26;Spain;Female;23;A;Partially State-funded School;0;None of them;0;None of them;0;No;No
01/10/2018 19:28;Spain;Male;21;A;Private;0;Spotify;150;Netflix;60;Yes;Yes
01/10/2018 19:32;Spain;Female;27;A;Partially State-funded School;0;Spotify;30;None of them;0;No;No
01/10/2018 19:36;Spain;Female;15;A;Partially State-funded School;0.5;Spotify;100;Netflix;180;No;No
01/10/2018 19:40;Spain;Female;33;A;Partially State-funded School;6;Spotify;30;Netflix;50;Yes;Yes
01/10/2018 19:42;Spain;Female;23;A;Public School;5;Spotify;60;Netflix;45;Yes;No
01/10/2018 19:45;Lithuania ;Female;25;A;Public School;75;None of them;0;Netflix;120;No;No
01/10/2018 19:45;Spain;Female;57;B;Private;0;None of them;0;None of them;0;Yes;No
01/10/2018 19:58;Spain;Female;28;A;Partially State-funded School;6;Spotify;60;Netflix;60;Yes;Yes
01/10/2018 20:00;Spain;Male;53;A;Public School;0;None of them;0;None of them;0;No;No
01/10/2018 20:07;Spain;Female;21;A;Public School;0;Spotify;30;Netflix;90;No;No
01/10/2018 20:10;Spain;Male;22;A;Public School;0;Spotify;30;Netflix;90;Yes;No
01/10/2018 20:11;Spain;Female;21;A;Partially State-funded School;0;Spotify;60;Netflix;120;Yes;No
01/10/2018 20:13;Spain;Female;22;A;Partially State-funded School;0;Spotify;30;Netflix;90;Yes;Yes
01/10/2018 20:24;Spain;Male;17;B;Public School;1;None of them;0;YouTube;20;No;No
01/10/2018 20:26;Spain;Female;22;A;Partially State-funded School;0;Spotify;120;Netflix;60;Yes;Yes
